video,width,height,fps,frame_count,duration_sec,passed_screen,target_ts_sec,used_ts_sec,image,status,message
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0318.MP4,1920.0,1080.0,23.976023976023978,22342.0,931.848,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0318_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0319.MP4,1920.0,1080.0,23.976023976023978,22333.0,931.472,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0319_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0320.MP4,1920.0,1080.0,23.976023976023978,22362.0,932.682,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0320_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0321.MP4,1920.0,1080.0,23.976023976023978,22335.0,931.556,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0321_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0322.MP4,1920.0,1080.0,23.976023976023978,22424.0,935.268,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0322_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0323.MP4,1920.0,1080.0,23.976023976023978,22364.0,932.765,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0323_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0324.MP4,1920.0,1080.0,23.976023976023978,22364.0,932.765,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0324_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0325.MP4,1920.0,1080.0,23.976023976023978,22521.0,939.313,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0325_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0326.MP4,1920.0,1080.0,23.976023976023978,22589.0,942.15,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0326_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0327.MP4,1920.0,1080.0,23.976023976023978,22331.0,931.389,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0327_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_27/DJI/DJI_0328.MP4,1920.0,1080.0,23.976023976023978,12470.0,520.103,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_27/DJI/DJI_0328_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0329.MP4,1920.0,1080.0,23.976023976023978,22311.0,930.555,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0329_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0330.MP4,1920.0,1080.0,23.976023976023978,22315.0,930.721,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0330_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_28/DJI/DJI_0331.MP4,1920.0,1080.0,23.976023976023978,22311.0,930.555,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_28/DJI/DJI_0331_t300.000s.jpg,ok,
